Vote,Sector,Subprogram,Financial Year,Released Budget (UGX),Actual Expenditure (UGX),Source File
10,Agriculture,"Programme: 0101 Crop Resources 317.86 198.47 129.09 62.4% 40.6% 65.0%
Development Projects.
1263 Agriculture Cluster Development Project 196.10 136.45 81.66 69.6% 41.6% 59.8%
1316 Enhancing National Food Security through increased 48.78 0.89 0.89 1.8% 1.8% 100.0%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 24.23 17.09 12.67 70.5% 52.3% 74.1%
1508 National Oil Palm Project 39.29 36.14 26.21 92.0% 66.7% 72.5%
1709 Rice Development Project Phase II 9.46 7.90 7.66 83.5% 81.0% 97.0%",21/22,317.86,198.47,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"Programme: 0101 Crop Resources 317.86 198.47 129.09 62.4% 40.6% 65.0%
Development Projects.
1263 Agriculture Cluster Development Project 196.10 136.45 81.66 69.6% 41.6% 59.8%
1316 Enhancing National Food Security through increased 48.78 0.89 0.89 1.8% 1.8% 100.0%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 24.23 17.09 12.67 70.5% 52.3% 74.1%
1508 National Oil Palm Project 39.29 36.14 26.21 92.0% 66.7% 72.5%
1709 Rice Development Project Phase II 9.46 7.90 7.66 83.5% 81.0% 97.0%",21/22,317.86,198.47,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,"Programme: 0105 Agriculture Infrastructure, 5.67 5.60 5.47 98.8% 96.5% 97.8%
Mechanization and Water for Agricultural Production
Development Projects.",21/22,5.67,5.6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"Programme: 0105 Agriculture Infrastructure, 5.67 5.60 5.47 98.8% 96.5% 97.8%
Mechanization and Water for Agricultural Production
Development Projects.",21/22,5.67,5.6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,"Programme: 0149 Policy, Planning and Support 32.23 34.81 29.27 108.0% 90.8% 84.1%
Services
Development Projects.
1444 Agriculture Value Chain Development 32.23 34.81 29.27 108.0% 90.8% 84.1%",21/22,32.23,34.81,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"Programme: 0149 Policy, Planning and Support 32.23 34.81 29.27 108.0% 90.8% 84.1%
Services
Development Projects.
1444 Agriculture Value Chain Development 32.23 34.81 29.27 108.0% 90.8% 84.1%",21/22,32.23,34.81,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
221001 Advertising and Public Relations
221003 Staff Training
221005 Hire of Venue (chairs, projector, etc)
223005 Electricity
223006 Water
224001 Medical Supplies
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
225001 Consultancy Services- Short term
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228004 Maintenance – Other",21/22,8.73,8.32,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221004 Recruitment Expenses
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
222003 Information and communications technology (ICT)
223001 Property Expenses
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical Supplies
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
225001 Consultancy Services- Short term
226001 Insurances
227001 Travel inland",21/22,55.65,55.05,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,0151 Agricultural Research,21/22,110.31,108.79,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,Programme 0151 Agricultural Research,21/22,110.31,108.79,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,0154 Agriculture Advisory Services,21/22,104.49,88.73,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,0154 Agriculture Advisory Services,21/22,104.49,88.73,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,Programme 0154 Agriculture Advisory Services,21/22,104.49,88.73,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,Programme 0154 Agriculture Advisory Services,21/22,104.49,88.73,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"0903 Government Purchases
1754 Retooling of National Agricultural Advisory Services
Secretariat",21/22,98.33,82.62,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221004 Recruitment Expenses
221006 Commissions and related charges
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224004 Cleaning and Sanitation
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
226001 Insurances
227001 Travel inland",21/22,51.05,52.97,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212201 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221017 Subscriptions
222001 Telecommunications
222003 Information and communications technology (ICT)
223001 Property Expenses
223002 Rates
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies",21/22,3.83,8.83,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221007 Books, Periodicals & Newspapers
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223002 Rates
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
224001 Medical Supplies
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
225003 Taxes on (Professional) Services
226001 Insurances
227001 Travel inland
227002 Travel abroad
227003 Carriage, Haulage, Freight and transport hire
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",21/22,82.47,81.72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"0701 Pre-Primary and Primary Education
0702 Secondary Education
0704 Higher Education
0705 Skills Development
0706 Quality and Standards
0707 Physical Education and Sports
0710 Special Needs Education
0711 Guidance and Counselling
0749 Policy, Planning and Support Services",21/22,39.2,79.46,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,Programme 0701 Pre-Primary and Primary Education,21/22,31.51,72.66,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,Programme 0702 Secondary Education,21/22,61.6,39.9,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"03 Secondary Education
14 Private Schools Department
1540 Development of Secondary Education Phase II
1665 Uganda Secondary Education Expansion Project",21/22,23.61,21.81,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,Programme 0704 Higher Education,21/22,55.06,28.74,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,07 Higher Education,21/22,49.77,26.9,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"05 BTVET
10 NHSTC
11 Dept. Training Institutions
1310 Albertine Region Sustainable Development Project
1338 Skills Development Project
1412 The Technical Vocational Education and Training
(TVET-LEAD)
1432 OFID Funded Vocational Project Phase II",21/22,52.3,45.85,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"04 Teacher Education
09 Education Standards Agency",21/22,22.45,19.54,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,Programme 0707 Physical Education and Sports,21/22,4.88,3.26,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,Programme 0710 Special Needs Education,21/22,4.68,3.23,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,06 Special Needs Education and Career Guidance,21/22,1.98,1.6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"1308 Development and Improvement of Special Needs
Education (SNE)",21/22,2.7,1.63,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
212102 Pension for General Civil Service
212201 Social Security Contributions
213001 Medical expenses (To employees)
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent costs
221017 Subscriptions
221020 IPPS Recurrent Costs
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
223901 Rent – (Produced Assets) to other govt. units
224004 Cleaning and Sanitation
224006 Agricultural Supplies
225001 Consultancy Services- Short term
227001 Travel inland
227002 Travel abroad",21/22,147.74,171.5,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"Programme: 0701 Pre-Primary and Primary Education 7.69 6.80 6.80 88.4% 88.4% 100.0%
Development Projects.
1339 Emergency Construction of Primary Schools Phase II 7.69 6.80 6.80 88.4% 88.4% 100.0%",21/22,7.69,6.8,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"Programme: 0704 Higher Education 6.54 2.70 2.70 41.3% 41.3% 100.0%
Development Projects.
1491 African Centers of Excellence II 6.54 2.70 2.70 41.3% 41.3% 100.0%",21/22,6.54,2.7,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",21/22,24.51,20.84,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,0708 Education and Social Services,21/22,48.89,48.92,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,Programme 0708 Education and Social Services,21/22,48.89,48.92,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"11 Education and Social Services
1686 Retooling of Kampala Capital City Authority",21/22,44.78,44.81,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",21/22,16.01,15.37,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",21/22,10.69,11.41,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"04 Faculty of Techno Science
05 Research and Innovation Department
06 Faculty of Education
07 Faculty of Health Sciences
08 Faculty of Science
09 Agriculture and Environmental Science
10 Faculty of Management Science",21/22,1.68,1.86,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"04 Faculty of Techno Science
05 Research and Innovation Department
06 Faculty of Education
07 Faculty of Health Sciences
08 Faculty of Science
09 Agriculture and Environmental Science
10 Faculty of Management Science",21/22,1.68,1.86,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,"04 Faculty of Techno Science
05 Research and Innovation Department
06 Faculty of Education
07 Faculty of Health Sciences
08 Faculty of Science
09 Agriculture and Environmental Science
10 Faculty of Management Science",21/22,1.68,1.86,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"04 Faculty of Techno Science
05 Research and Innovation Department
06 Faculty of Education
07 Faculty of Health Sciences
08 Faculty of Science
09 Agriculture and Environmental Science
10 Faculty of Management Science",21/22,1.68,1.86,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,0752 Education Personnel Policy and Management,21/22,12.92,18.03,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"Programme 0752 Education Personnel Policy and
Management",21/22,12.92,18.03,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"01 Headquarters
1602 Retooling of Education service Commission",21/22,9.23,17.53,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",21/22,332.62,327.19,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",21/22,32.45,20.7,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",21/22,21.69,19.34,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",21/22,35.79,35.33,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"03 Faculty of Science
04 Faculty of Medicine
06 Faculty of Applied Sciences
07 Faculty of Computing and Informatics
08 Faculty of Business and management Sciences
09 Faculty of Interdisciplinary Studies
10 Institute of Maternal and New born Child Health
11 Directorate of Research and Graduate Training
12 Centre of Innovations and Technology Transfer",21/22,6.63,6.47,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",21/22,98.73,90.93,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",21/22,1.96,1.24,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"14 Faculty of Computing and Informatics
15 Faculty of Management
16 Faculty of Marketing Leisure & Hosp Mgt
17 Faculty of Commerce
18 Faculty of Vocational Distance Education
19 Faculty of Graduate Studies & Research
20 Faculty of Entrepreneurship & Business Administration
21 Arua Campus
22 Mbarara Campus
23 Mbale Campus
24 Jinja Campus
25 Faculty of Energy Economics & Mgt",21/22,0.16,0.1,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",21/22,84,83.6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",21/22,31.61,29.5,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",21/22,3.53,2.55,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",21/22,22.77,20.75,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",21/22,32.39,32.75,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"07 Research and Graduate Studies
08 Faculty of Education and Humanities
09 Faculty of Agriculture and Environment
10 Faculty of Business and Development Studies
11 Faculty of Sciences
12 Faculty of Medicine
13 Faculty of Laws
14 Institute of Peace and Strategic Studies
15 Satellite Campuses",21/22,0.13,0.11,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,"07 Research and Graduate Studies
08 Faculty of Education and Humanities
09 Faculty of Agriculture and Environment
10 Faculty of Business and Development Studies
11 Faculty of Sciences
12 Faculty of Medicine
13 Faculty of Laws
14 Institute of Peace and Strategic Studies
15 Satellite Campuses",21/22,0.13,0.11,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"07 Research and Graduate Studies
08 Faculty of Education and Humanities
09 Faculty of Agriculture and Environment
10 Faculty of Business and Development Studies
11 Faculty of Sciences
12 Faculty of Medicine
13 Faculty of Laws
14 Institute of Peace and Strategic Studies
15 Satellite Campuses",21/22,0.13,0.11,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",21/22,15.53,13.07,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",21/22,12.28,13.93,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"06 Faculty of Health Science
07 Faculty of Management Sciences Programme
10 Faculty of Education
11 Clinical Services",21/22,6.81,7.52,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"06 Faculty of Health Science
07 Faculty of Management Sciences Programme
10 Faculty of Education
11 Clinical Services",21/22,6.81,7.52,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",21/22,40.26,42.61,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",21/22,0.99,2,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"08 Faculty of Education
09 Faculty of Science
10 Faculty of Arts and Social Sciences
11 Faculty of Computing, Library and Information Science
12 Faculty of Engineering, Technology, Applied Design &
Fine Art
13 School of Medicine
14 Institute of Language Studies
15 Faculty of Economics and Management Science
16 Faculty of Agriculturd and Environmental Sciences
18 Directorate of Research and Publication",21/22,0.03,0.18,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"08 Faculty of Education
09 Faculty of Science
10 Faculty of Arts and Social Sciences
11 Faculty of Computing, Library and Information Science
12 Faculty of Engineering, Technology, Applied Design &
Fine Art
13 School of Medicine
14 Institute of Language Studies
15 Faculty of Economics and Management Science
16 Faculty of Agriculturd and Environmental Sciences
18 Directorate of Research and Publication",21/22,0.03,0.18,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",21/22,9.83,15.79,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",21/22,6.36,6.33,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,03 School of Health Sciences,21/22,3.38,3.38,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"0715 Higher Education Quality, Standard and
Accreditation",21/22,10.18,12.47,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"Programme 0715 Higher Education Quality, Standard
and Accreditation",21/22,10.18,12.47,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"0801 Health Governance and Regulation
0802 Health infrastructure and equipment
0803 Health Research
0805 Pharmaceutical and other Supplies
0806 Public Health Services
0808 Clinical Health Services
0849 Policy, Planning and Support Services",21/22,0.73,0.73,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,Number of Health facilities supported to conduct outreaches Number,21/22,3549,3145,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"20 Standards, Accreditation and Patient Protection
1243 Rehabilitation and Construction of General Hospitals
1344 Renovation and Equipping of Kayunga and Yumbe
General Hospitals
1440 Uganda Reproductive Maternal and Child Health
Services Improvement Project
1519 Strengthening Capacity of Regional Referral Hospitals
1539 Italian Support to Health Sector Development Plan-
Karamoja Infrastructure Development Project Phase II
1566 Retooling of Ministry of Health",21/22,0.73,0.73,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,Programme 0803 Health Research,21/22,0.79,0.79,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,Programme 0806 Public Health Services,21/22,11.35,78.7,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"06 Community Health
08 Communicable Diseases Prevention & Control
13 Health Education, Promotion & Communication
14 Reproductive and Child Health
21 Environmental Health
22 Non-Communicable Diseases
23 National Health Laboratory & Diagnostic Services
24 Integrated Epidemiology, Surveillance & Public Health
Emergencies",21/22,0.55,0.55,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"06 Community Health
08 Communicable Diseases Prevention & Control
13 Health Education, Promotion & Communication
14 Reproductive and Child Health
21 Environmental Health
22 Non-Communicable Diseases
23 National Health Laboratory & Diagnostic Services
24 Integrated Epidemiology, Surveillance & Public Health
Emergencies",21/22,0.55,0.55,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,Programme 0808 Clinical Health Services,21/22,77.93,122.25,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"09 shared National Services (Interns allowances, transfers to
international organisations and transfers to districts)
11 Nursing & Midwifery Services
15 Clinical Services
16 Emergency Medical Services
17 Health Infrastructure",21/22,67.05,104.06,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"01 Headquarters
02 Health Sector Strategy and Policy
10 Internal Audit Department
12 Human Resource Management Department
19 Health Sector Partners & Multi-Sectoral Coordination",21/22,4.11,13.75,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"Programme: 0802 Health infrastructure and equipment 757.61 508.85 150.09 67.2% 19.8% 29.5%
Development Projects.
1243 Rehabilitation and Construction of General Hospitals 9.88 2.47 2.47 25.0% 25.0% 100.0%
1344 Renovation and Equipping of Kayunga and Yumbe 9.10 4.94 4.94 54.3% 54.3% 100.0%
General Hospitals
1440 Uganda Reproductive Maternal and Child Health 733.44 501.44 142.68 68.4% 19.5% 28.5%
Services Improvement Project
1539 Italian Support to Health Sector Development Plan- 5.19 0.00 0.00 0.0% 0.0% 0.0%
Karamoja Infrastructure Development Project Phase II",21/22,757.61,508.85,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"Programme: 0805 Pharmaceutical and other Supplies 551.58 522.37 401.81 94.7% 72.8% 76.9%
Development Projects.
0220 Global Fund for AIDS, TB and Malaria 462.80 459.12 351.65 99.2% 76.0% 76.6%
1436 GAVI Vaccines and Health Sector Development Plan 88.78 63.25 50.15 71.2% 56.5% 79.3%
Support",21/22,551.58,522.37,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,01 Pharmaceuticals and Other Health Supplies,21/22,590.24,580.78,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,0807 Community Health Management,21/22,13.79,17.48,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,Number of health workers paid monthly salaries Number,21/22,469,469,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,Programme 0807 Community Health Management,21/22,13.79,17.48,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"08 Public Health
1686 Retooling of Kampala Capital City Authority",21/22,12.85,12.64,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,0852 Human Resource Management for Health,21/22,8.13,8.09,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"Programme 0852 Human Resource Management for
Health",21/22,8.13,8.09,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,0855 Provision of Specialised Mental Health Services,21/22,17.38,18.78,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"Programme 0855 Provision of Specialised Mental Health
Services",21/22,17.38,18.78,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221004 Recruitment Expenses
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221014 Bank Charges and other Bank related costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223002 Rates
223004 Guard and Security services
223005 Electricity
223006 Water
223901 Rent – (Produced Assets) to other govt. units
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225003 Taxes on (Professional) Services
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil",21/22,32.75,23.95,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"06 Labour and Industrial Relations
07 Occupational Safety and Health
08 Industrial Court
15 Employment Services
19 Promotion of Green Jobs and Fair Labour Market in
Uganda (PROGEL)
1488 Chemical Safety &Security (CHESASE) Project",21/22,0.84,3.76,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"04 Research, Monitoring and Evaluation
05 Education, Training, Information and Communication
06 Complaince and reporting",21/22,1.09,1.09,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"06 Finance and Administration
1670 Retooling the Uganda Human Rights Commission
03 Complaints, Investigations and Legal Services
04 Research, Education and Documentation
05 Monitoring of State of Human Rights",21/22,18.54,18.54,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"12 Finance and Administration
13 Corporate Services
14 Inspectorate and Quality Assurance
22 Policy, Planning and Statistics
1643 Retooling of Uganda Prisons Service
15 Administration of Remand Prisoners
16 Administration of Convicted Prisoners
17 Offender Education and Training
18 Social Rehabilitation and Re-integration",21/22,29.69,42.74,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"1210 Recruitment and Discipline of Judicial Officers
1218 Public legal awareness and Judicial education
1219 Complaints management and advisory services
1225 General administration, planning, policy and
support services",21/22,2.54,2.54,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"Programme 1218 Public legal awareness and Judicial
education",21/22,1.61,1.55,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"09 Public legal awareness for administration of justice
10 Judicial Education for administration of justice",21/22,1.05,1.01,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
